																						
	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
	F	F			F		F	F	F	F	F	F	F						F		F	
	F					F	F	F	F	F	F	F	F	F	F	F	F		F		F	
	F						F	F	F	F	F	F	F	F	F	F	F		F		
	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F		F		
	F	F	F	F	F		F	F	F	F	F	F	F	F	F				F		F	
	F	F	F	F	F		F	F	F	F	F	F	F	F	F		F		F		F	
					F		F						F				F		F		F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F	F	F	F	F	F	F	F	F	F	F										F	
	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F						F	
			F	F	F	F	F	F	F	F	F	F	F	F	F						F	
	F	FF	F	F	F	F	F	F	F	F	F	F	F	F						        F	
					F	F	F	F	F	F	F										F	
	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F				F	
	F				F	F	F	F	F	F	F		F	F	F	F	F				F	
	F				F	F	F	F	F	F	F		F	F	F	F	F				F	
	F				F	F	F	F	F	F	F						F				F	
	F		F	F	F	F	F	F	F	F	F	F	F				F				F	
	F		F	F	F	F	F	F	F	F	F	F	F				F				F	
	D	F	F	F	F	F	F	F	F	F	F	F	F				F	F	F	F	F	
																						
